logg,Teff,Z,xi,a,b,Filt,Met,Mod
2.50,1500.,0.0,2.0,1.1429,-0.1294,C,F,qs
3.00,1500.,0.0,2.0,1.2054,-0.3041,C,F,qs
3.50,1500.,0.0,2.0,1.2669,-0.3817,C,F,qs
4.00,1500.,0.0,2.0,1.4441,-0.5658,C,F,qs
4.50,1500.,0.0,2.0,2.1335,-1.3077,C,F,qs
5.00,1500.,0.0,2.0,1.7278,-0.8539,C,F,qs
5.50,1500.,0.0,2.0,1.6146,-0.7746,C,F,qs
2.50,1600.,0.0,2.0,0.9173,0.1019,C,F,qs
3.00,1600.,0.0,2.0,0.9821,-0.0769,C,F,qs
3.50,1600.,0.0,2.0,1.0511,-0.1588,C,F,qs
4.00,1600.,0.0,2.0,1.0906,-0.1980,C,F,qs
4.50,1600.,0.0,2.0,1.2026,-0.3170,C,F,qs
5.00,1600.,0.0,2.0,1.2665,-0.3856,C,F,qs
5.50,1600.,0.0,2.0,1.3931,-0.5201,C,F,qs
2.50,1700.,0.0,2.0,0.7521,0.2634,C,F,qs
3.00,1700.,0.0,2.0,0.8844,0.0082,C,F,qs
3.50,1700.,0.0,2.0,0.9356,-0.0546,C,F,qs
4.00,1700.,0.0,2.0,0.9748,-0.0993,C,F,qs
4.50,1700.,0.0,2.0,0.9568,-0.0751,C,F,qs
5.00,1700.,0.0,2.0,1.0164,-0.1261,C,F,qs
5.50,1700.,0.0,2.0,1.1633,-0.2726,C,F,qs
2.50,1800.,0.0,2.0,0.8238,0.1857,C,F,qs
3.00,1800.,0.0,2.0,0.5790,0.2770,C,F,qs
3.50,1800.,0.0,2.0,0.8312,0.0233,C,F,qs
4.00,1800.,0.0,2.0,0.8543,-0.0015,C,F,qs
4.50,1800.,0.0,2.0,0.8869,-0.0233,C,F,qs
5.00,1800.,0.0,2.0,0.9123,-0.0407,C,F,qs
5.50,1800.,0.0,2.0,0.9672,-0.0884,C,F,qs
2.50,1900.,0.0,2.0,0.8184,0.1778,C,F,qs
3.00,1900.,0.0,2.0,0.8910,-0.0165,C,F,qs
3.50,1900.,0.0,2.0,0.8496,-0.0185,C,F,qs
4.00,1900.,0.0,2.0,0.8532,-0.0272,C,F,qs
4.50,1900.,0.0,2.0,0.8016,0.0271,C,F,qs
5.00,1900.,0.0,2.0,0.8253,0.0240,C,F,qs
5.50,1900.,0.0,2.0,0.8364,0.0260,C,F,qs
2.50,2000.,0.0,2.0,0.8947,0.1083,C,F,qs
3.00,2000.,0.0,2.0,0.9355,-0.0613,C,F,qs
3.50,2000.,0.0,2.0,0.8988,-0.0677,C,F,qs
4.00,2000.,0.0,2.0,0.8939,-0.0694,C,F,qs
4.50,2000.,0.0,2.0,0.8801,-0.0496,C,F,qs
5.00,2000.,0.0,2.0,0.8119,0.0161,C,F,qs
5.50,2000.,0.0,2.0,0.7659,0.0722,C,F,qs
2.50,2100.,0.0,2.0,0.9653,0.0433,C,F,qs
3.00,2100.,0.0,2.0,1.0041,-0.1091,C,F,qs
3.50,2100.,0.0,2.0,1.0071,-0.1687,C,F,qs
4.00,2100.,0.0,2.0,0.9353,-0.1125,C,F,qs
4.50,2100.,0.0,2.0,0.8740,-0.0614,C,F,qs
5.00,2100.,0.0,2.0,0.8321,-0.0143,C,F,qs
5.50,2100.,0.0,2.0,0.7885,0.0405,C,F,qs
2.50,2200.,0.0,2.0,0.9423,0.0787,C,F,qs
3.00,2200.,0.0,2.0,0.9659,-0.0442,C,F,qs
3.50,2200.,0.0,2.0,1.0406,-0.1813,C,F,qs
4.00,2200.,0.0,2.0,1.0043,-0.1606,C,F,qs
4.50,2200.,0.0,2.0,0.9316,-0.0973,C,F,qs
5.00,2200.,0.0,2.0,0.8494,-0.0423,C,F,qs
5.50,2200.,0.0,2.0,0.7886,0.0184,C,F,qs
2.50,2300.,0.0,2.0,0.9965,0.0385,C,F,qs
3.00,2300.,0.0,2.0,1.0184,-0.0595,C,F,qs
3.50,2300.,0.0,2.0,1.0361,-0.1381,C,F,qs
4.00,2300.,0.0,2.0,1.0390,-0.1703,C,F,qs
4.50,2300.,0.0,2.0,0.9573,-0.1007,C,F,qs
5.00,2300.,0.0,2.0,0.8840,-0.0576,C,F,qs
5.50,2300.,0.0,2.0,0.7669,0.0374,C,F,qs
2.50,2400.,0.0,2.0,0.9946,0.0644,C,F,qs
3.00,2400.,0.0,2.0,0.9642,0.0482,C,F,qs
3.50,2400.,0.0,2.0,1.0170,-0.0856,C,F,qs
4.00,2400.,0.0,2.0,0.9957,-0.0867,C,F,qs
4.50,2400.,0.0,2.0,0.9898,-0.1006,C,F,qs
5.00,2400.,0.0,2.0,0.8962,-0.0422,C,F,qs
5.50,2400.,0.0,2.0,0.8377,-0.0161,C,F,qs
2.50,2500.,0.0,2.0,1.0023,0.0716,C,F,qs
3.00,2500.,0.0,2.0,0.9224,0.1238,C,F,qs
3.50,2500.,0.0,2.0,0.9578,0.0088,C,F,qs
4.00,2500.,0.0,2.0,0.9731,-0.0325,C,F,qs
4.50,2500.,0.0,2.0,0.9549,-0.0374,C,F,qs
5.00,2500.,0.0,2.0,0.9220,-0.0356,C,F,qs
5.50,2500.,0.0,2.0,0.8700,-0.0172,C,F,qs
2.50,2600.,0.0,2.0,0.9842,0.0942,C,F,qs
3.00,2600.,0.0,2.0,0.8989,0.1563,C,F,qs
3.50,2600.,0.0,2.0,0.8974,0.0886,C,F,qs
4.00,2600.,0.0,2.0,0.9011,0.0576,C,F,qs
4.50,2600.,0.0,2.0,0.9127,0.0238,C,F,qs
5.00,2600.,0.0,2.0,0.9041,0.0043,C,F,qs
5.50,2600.,0.0,2.0,0.8677,0.0091,C,F,qs
2.50,2700.,0.0,2.0,0.9072,0.1751,C,F,qs
3.00,2700.,0.0,2.0,0.8701,0.1875,C,F,qs
3.50,2700.,0.0,2.0,0.8445,0.1454,C,F,qs
4.00,2700.,0.0,2.0,0.8309,0.1309,C,F,qs
4.50,2700.,0.0,2.0,0.8414,0.1024,C,F,qs
5.00,2700.,0.0,2.0,0.8521,0.0703,C,F,qs
5.50,2700.,0.0,2.0,0.8456,0.0453,C,F,qs
2.50,2800.,0.0,2.0,0.8501,0.2370,C,F,qs
3.00,2800.,0.0,2.0,0.8313,0.2261,C,F,qs
3.50,2800.,0.0,2.0,0.7906,0.1979,C,F,qs
4.00,2800.,0.0,2.0,0.7679,0.1829,C,F,qs
4.50,2800.,0.0,2.0,0.7671,0.1678,C,F,qs
5.00,2800.,0.0,2.0,0.7811,0.1371,C,F,qs
5.50,2800.,0.0,2.0,0.8033,0.0910,C,F,qs
2.50,2900.,0.0,2.0,0.7823,0.3072,C,F,qs
3.00,2900.,0.0,2.0,0.7779,0.2777,C,F,qs
3.50,2900.,0.0,2.0,0.7580,0.2352,C,F,qs
4.00,2900.,0.0,2.0,0.7349,0.2037,C,F,qs
