logg,Teff,Z,xi,a,b,Filt,Met,Mod
2.50,1500.,0.0,2.0,1.1569,-0.1455,I,F,qs
3.00,1500.,0.0,2.0,1.2142,-0.3180,I,F,qs
3.50,1500.,0.0,2.0,1.2786,-0.3989,I,F,qs
4.00,1500.,0.0,2.0,1.4377,-0.5638,I,F,qs
4.50,1500.,0.0,2.0,2.0485,-1.2140,I,F,qs
5.00,1500.,0.0,2.0,1.7189,-0.8440,I,F,qs
5.50,1500.,0.0,2.0,1.5681,-0.7259,I,F,qs
2.50,1600.,0.0,2.0,0.9313,0.0880,I,F,qs
3.00,1600.,0.0,2.0,0.9887,-0.0818,I,F,qs
3.50,1600.,0.0,2.0,1.0622,-0.1688,I,F,qs
4.00,1600.,0.0,2.0,1.1051,-0.2106,I,F,qs
4.50,1600.,0.0,2.0,1.2010,-0.3159,I,F,qs
5.00,1600.,0.0,2.0,1.2600,-0.3812,I,F,qs
5.50,1600.,0.0,2.0,1.3680,-0.4951,I,F,qs
2.50,1700.,0.0,2.0,0.7634,0.2538,I,F,qs
3.00,1700.,0.0,2.0,0.9023,-0.0083,I,F,qs
3.50,1700.,0.0,2.0,0.9477,-0.0642,I,F,qs
4.00,1700.,0.0,2.0,0.9827,-0.1020,I,F,qs
4.50,1700.,0.0,2.0,0.9649,-0.0785,I,F,qs
5.00,1700.,0.0,2.0,1.0203,-0.1281,I,F,qs
5.50,1700.,0.0,2.0,1.1537,-0.2635,I,F,qs
2.50,1800.,0.0,2.0,0.8453,0.1640,I,F,qs
3.00,1800.,0.0,2.0,0.5573,0.2956,I,F,qs
3.50,1800.,0.0,2.0,0.8550,0.0036,I,F,qs
4.00,1800.,0.0,2.0,0.8664,-0.0069,I,F,qs
4.50,1800.,0.0,2.0,0.8939,-0.0250,I,F,qs
5.00,1800.,0.0,2.0,0.9116,-0.0366,I,F,qs
5.50,1800.,0.0,2.0,0.9534,-0.0731,I,F,qs
2.50,1900.,0.0,2.0,0.8702,0.1256,I,F,qs
3.00,1900.,0.0,2.0,0.9436,-0.0667,I,F,qs
3.50,1900.,0.0,2.0,0.8867,-0.0525,I,F,qs
4.00,1900.,0.0,2.0,0.8791,-0.0490,I,F,qs
4.50,1900.,0.0,2.0,0.7904,0.0457,I,F,qs
5.00,1900.,0.0,2.0,0.8109,0.0453,I,F,qs
5.50,1900.,0.0,2.0,0.8214,0.0447,I,F,qs
2.50,2000.,0.0,2.0,0.9928,0.0053,I,F,qs
3.00,2000.,0.0,2.0,1.0297,-0.1508,I,F,qs
3.50,2000.,0.0,2.0,0.9837,-0.1462,I,F,qs
4.00,2000.,0.0,2.0,0.9503,-0.1188,I,F,qs
4.50,2000.,0.0,2.0,0.9192,-0.0815,I,F,qs
5.00,2000.,0.0,2.0,0.8074,0.0282,I,F,qs
5.50,2000.,0.0,2.0,0.7580,0.0834,I,F,qs
2.50,2100.,0.0,2.0,1.1124,-0.1115,I,F,qs
3.00,2100.,0.0,2.0,1.1210,-0.2203,I,F,qs
3.50,2100.,0.0,2.0,1.1232,-0.2727,I,F,qs
4.00,2100.,0.0,2.0,1.0388,-0.2087,I,F,qs
4.50,2100.,0.0,2.0,0.9553,-0.1357,I,F,qs
5.00,2100.,0.0,2.0,0.8580,-0.0339,I,F,qs
5.50,2100.,0.0,2.0,0.7759,0.0578,I,F,qs
2.50,2200.,0.0,2.0,1.0716,-0.0536,I,F,qs
3.00,2200.,0.0,2.0,1.0733,-0.1435,I,F,qs
3.50,2200.,0.0,2.0,1.1640,-0.2874,I,F,qs
4.00,2200.,0.0,2.0,1.1408,-0.2812,I,F,qs
4.50,2200.,0.0,2.0,1.0448,-0.2023,I,F,qs
5.00,2200.,0.0,2.0,0.9292,-0.1148,I,F,qs
5.50,2200.,0.0,2.0,0.7882,0.0237,I,F,qs
2.50,2300.,0.0,2.0,1.1549,-0.1245,I,F,qs
3.00,2300.,0.0,2.0,1.1610,-0.1977,I,F,qs
3.50,2300.,0.0,2.0,1.1698,-0.2543,I,F,qs
4.00,2300.,0.0,2.0,1.1790,-0.2888,I,F,qs
4.50,2300.,0.0,2.0,1.0920,-0.2185,I,F,qs
