MS Mass (solMass),Period (days),Inclination (degs),MS Atmosphere Model,Native Amplitude (mag),Only-Horizon Amplitude (mag),Amplitude Difference (mag),Eclipsing?
0.1,0.1,0.0,,,,,
0.1,0.1,30.0,,,,,
0.1,0.1,60.0,,,,,
0.1,0.1,90.0,,,,,
0.1,0.31622776601683794,0.0,,,,,
0.1,0.31622776601683794,30.0,,,,,
0.1,0.31622776601683794,60.0,,,,,
0.1,0.31622776601683794,90.0,,,,,
0.1,1.0,0.0,,,,,
0.1,1.0,30.0,,,,,
0.1,1.0,60.0,,,,,
0.1,1.0,90.0,,,,,
0.1,3.1622776601683795,0.0,,,,,
0.1,3.1622776601683795,30.0,,,,,
0.1,3.1622776601683795,60.0,,,,,
0.1,3.1622776601683795,90.0,,,,,
0.1,10.0,0.0,70,-0.0,-0.0,0.0,0
0.1,10.0,30.0,70,-0.013515681799411625,-0.013515681799411625,0.0,0
0.1,10.0,60.0,70,-0.022943788077908263,-0.022943788077908263,0.0,0
0.1,10.0,90.0,70,-1.7850940461828864,-0.026065887103617316,1.7590281590792691,1
0.1778279410038923,0.1,0.0,,,,,
0.1778279410038923,0.1,30.0,,,,,
0.1778279410038923,0.1,60.0,,,,,
0.1778279410038923,0.1,90.0,,,,,
0.1778279410038923,0.31622776601683794,0.0,,,,,
0.1778279410038923,0.31622776601683794,30.0,,,,,
0.1778279410038923,0.31622776601683794,60.0,,,,,
0.1778279410038923,0.31622776601683794,90.0,,,,,
0.1778279410038923,1.0,0.0,,,,,
0.1778279410038923,1.0,30.0,,,,,
0.1778279410038923,1.0,60.0,,,,,
0.1778279410038923,1.0,90.0,,,,,
0.1778279410038923,3.1622776601683795,0.0,,,,,
0.1778279410038923,3.1622776601683795,30.0,,,,,
0.1778279410038923,3.1622776601683795,60.0,,,,,
0.1778279410038923,3.1622776601683795,90.0,,,,,
0.1778279410038923,10.0,0.0,70,-0.0,-0.0,0.0,0
0.1778279410038923,10.0,30.0,70,-0.023766450560178766,-0.023766450560178766,0.0,0
0.1778279410038923,10.0,60.0,70,-0.04027767021719406,-0.04027767021719406,0.0,0
0.1778279410038923,10.0,90.0,70,-6.842036306821816,-0.04577179609884339,6.796264510722973,1
0.31622776601683794,0.1,0.0,,,,,
0.31622776601683794,0.1,30.0,,,,,
0.31622776601683794,0.1,60.0,,,,,
0.31622776601683794,0.1,90.0,,,,,
0.31622776601683794,0.31622776601683794,0.0,,,,,
0.31622776601683794,0.31622776601683794,30.0,,,,,
0.31622776601683794,0.31622776601683794,60.0,,,,,
0.31622776601683794,0.31622776601683794,90.0,,,,,
0.31622776601683794,1.0,0.0,,,,,
0.31622776601683794,1.0,30.0,,,,,
0.31622776601683794,1.0,60.0,,,,,
0.31622776601683794,1.0,90.0,,,,,
0.31622776601683794,3.1622776601683795,0.0,,,,,
0.31622776601683794,3.1622776601683795,30.0,,,,,
0.31622776601683794,3.1622776601683795,60.0,,,,,
0.31622776601683794,3.1622776601683795,90.0,,,,,
0.31622776601683794,10.0,0.0,70,-0.0,-0.0,0.0,0
0.31622776601683794,10.0,30.0,70,-0.052231354847167275,-0.052231354847167275,0.0,0
0.31622776601683794,10.0,60.0,70,-0.08816805982856588,-0.08816805982856588,0.0,0
0.31622776601683794,10.0,90.0,70,-5.583858532689046,-0.1000638112065288,5.483794721482517,1
0.5623413251903491,0.1,0.0,,,,,
0.5623413251903491,0.1,30.0,,,,,
0.5623413251903491,0.1,60.0,,,,,
0.5623413251903491,0.1,90.0,,,,,
0.5623413251903491,0.31622776601683794,0.0,2004,-0.0,-0.0,0.0,0
0.5623413251903491,0.31622776601683794,30.0,2004,-0.586810580947298,-0.586810580947298,0.0,0
0.5623413251903491,0.31622776601683794,60.0,2004,-0.9575471326858319,-0.9575471326858319,0.0,0
0.5623413251903491,0.31622776601683794,90.0,2004,-4.654099328313829,-1.0598353588822949,3.594263969431534,1
0.5623413251903491,1.0,0.0,2004,-0.0,-0.0,0.0,0
0.5623413251903491,1.0,30.0,2004,-0.388425648769874,-0.388425648769874,0.0,0
0.5623413251903491,1.0,60.0,2004,-0.6471172528377074,-0.6471172528377074,0.0,0
0.5623413251903491,1.0,90.0,2004,-4.327441339752006,-0.7247151870237474,3.602726152728259,1
0.5623413251903491,3.1622776601683795,0.0,2004,-0.0,-0.0,0.0,0
0.5623413251903491,3.1622776601683795,30.0,2004,-0.24854738762393638,-0.24854738762393638,0.0,0
0.5623413251903491,3.1622776601683795,60.0,2004,-0.41583335591713444,-0.41583335591713444,0.0,0
0.5623413251903491,3.1622776601683795,90.0,2004,-4.085920333975785,-0.46833401388250206,3.6175863200932827,1
0.5623413251903491,10.0,0.0,2004,-0.0,-0.0,0.0,0
0.5623413251903491,10.0,30.0,2004,-0.13777803234659752,-0.13777803234659752,0.0,0
0.5623413251903491,10.0,60.0,2004,-0.23028710941898112,-0.23028710941898112,0.0,0
0.5623413251903491,10.0,90.0,2004,-3.892674943742136,-0.2602858376342786,3.6323891061078575,1
1.0,0.1,0.0,,,,,
1.0,0.1,30.0,,,,,
1.0,0.1,60.0,,,,,
1.0,0.1,90.0,,,,,
1.0,0.31622776601683794,0.0,,,,,
1.0,0.31622776601683794,30.0,,,,,
1.0,0.31622776601683794,60.0,,,,,
1.0,0.31622776601683794,90.0,,,,,
1.0,1.0,0.0,2004,-0.0,-0.0,0.0,0
1.0,1.0,30.0,2004,-0.7123054395848274,-0.7123054395848274,0.0,0
1.0,1.0,60.0,2004,-1.1627092573694462,-1.1627092573694462,0.0,0
1.0,1.0,90.0,2004,-2.3984840020572538,-1.2806443687789129,1.117839633278341,1
1.0,3.1622776601683795,0.0,2004,-0.0,-0.0,0.0,0
1.0,3.1622776601683795,30.0,2004,-0.46299217876949783,-0.46299217876949783,0.0,0
1.0,3.1622776601683795,60.0,2004,-0.7651820635802615,-0.7651820635802615,0.0,0
1.0,3.1622776601683795,90.0,2004,-1.9698718285657013,-0.8535596155934783,1.1163122129722232,1
1.0,10.0,0.0,2004,-0.0,-0.0,0.0,0
1.0,10.0,30.0,2004,-0.24510327194574533,-0.24510327194574533,0.0,0
1.0,10.0,60.0,2004,-0.4067604899346071,-0.4067604899346071,0.0,0
1.0,10.0,90.0,2004,-1.5779732056237392,-0.45828224306351484,1.1196909625602243,1
