MS Mass,Period,Inclination,Native Amplitude,Only-Horizon Amplitude,Amplitude Difference,Eclipsing?
0.1 solMass,0.1 d,0.0,False,False,False,False
0.1 solMass,0.1 d,30.0,False,False,False,False
0.1 solMass,0.1 d,60.0,False,False,False,False
0.1 solMass,0.1 d,90.0,False,False,False,False
0.1 solMass,0.31622776601683794 d,0.0,False,False,False,False
0.1 solMass,0.31622776601683794 d,30.0,False,False,False,False
0.1 solMass,0.31622776601683794 d,60.0,False,False,False,False
0.1 solMass,0.31622776601683794 d,90.0,False,False,False,False
0.1 solMass,1.0 d,0.0,False,False,False,False
0.1 solMass,1.0 d,30.0,False,False,False,False
0.1 solMass,1.0 d,60.0,False,False,False,False
0.1 solMass,1.0 d,90.0,False,False,False,False
0.1 solMass,3.1622776601683795 d,0.0,False,False,False,False
0.1 solMass,3.1622776601683795 d,30.0,False,False,False,False
0.1 solMass,3.1622776601683795 d,60.0,False,False,False,False
0.1 solMass,3.1622776601683795 d,90.0,False,False,False,False
0.1 solMass,10.0 d,0.0,False,False,False,False
0.1 solMass,10.0 d,30.0,False,False,False,False
0.1 solMass,10.0 d,60.0,False,False,False,False
0.1 solMass,10.0 d,90.0,False,False,False,False
0.1778279410038923 solMass,0.1 d,0.0,False,False,False,False
0.1778279410038923 solMass,0.1 d,30.0,False,False,False,False
0.1778279410038923 solMass,0.1 d,60.0,False,False,False,False
0.1778279410038923 solMass,0.1 d,90.0,False,False,False,False
0.1778279410038923 solMass,0.31622776601683794 d,0.0,False,False,False,False
0.1778279410038923 solMass,0.31622776601683794 d,30.0,False,False,False,False
0.1778279410038923 solMass,0.31622776601683794 d,60.0,False,False,False,False
0.1778279410038923 solMass,0.31622776601683794 d,90.0,False,False,False,False
0.1778279410038923 solMass,1.0 d,0.0,False,False,False,False
0.1778279410038923 solMass,1.0 d,30.0,False,False,False,False
0.1778279410038923 solMass,1.0 d,60.0,False,False,False,False
0.1778279410038923 solMass,1.0 d,90.0,False,False,False,False
0.1778279410038923 solMass,3.1622776601683795 d,0.0,False,False,False,False
0.1778279410038923 solMass,3.1622776601683795 d,30.0,False,False,False,False
0.1778279410038923 solMass,3.1622776601683795 d,60.0,False,False,False,False
0.1778279410038923 solMass,3.1622776601683795 d,90.0,False,False,False,False
0.1778279410038923 solMass,10.0 d,0.0,False,False,False,False
0.1778279410038923 solMass,10.0 d,30.0,False,False,False,False
0.1778279410038923 solMass,10.0 d,60.0,False,False,False,False
0.1778279410038923 solMass,10.0 d,90.0,False,False,False,False
0.31622776601683794 solMass,0.1 d,0.0,False,False,False,False
0.31622776601683794 solMass,0.1 d,30.0,False,False,False,False
0.31622776601683794 solMass,0.1 d,60.0,False,False,False,False
0.31622776601683794 solMass,0.1 d,90.0,False,False,False,False
0.31622776601683794 solMass,0.31622776601683794 d,0.0,False,False,False,False
0.31622776601683794 solMass,0.31622776601683794 d,30.0,False,False,False,False
0.31622776601683794 solMass,0.31622776601683794 d,60.0,False,False,False,False
0.31622776601683794 solMass,0.31622776601683794 d,90.0,False,False,False,False
0.31622776601683794 solMass,1.0 d,0.0,False,False,False,False
0.31622776601683794 solMass,1.0 d,30.0,False,False,False,False
0.31622776601683794 solMass,1.0 d,60.0,False,False,False,False
0.31622776601683794 solMass,1.0 d,90.0,False,False,False,False
0.31622776601683794 solMass,3.1622776601683795 d,0.0,False,False,False,False
0.31622776601683794 solMass,3.1622776601683795 d,30.0,False,False,False,False
0.31622776601683794 solMass,3.1622776601683795 d,60.0,False,False,False,False
0.31622776601683794 solMass,3.1622776601683795 d,90.0,False,False,False,False
0.31622776601683794 solMass,10.0 d,0.0,False,False,False,False
0.31622776601683794 solMass,10.0 d,30.0,False,False,False,False
0.31622776601683794 solMass,10.0 d,60.0,False,False,False,False
0.31622776601683794 solMass,10.0 d,90.0,False,False,False,False
0.5623413251903491 solMass,0.1 d,0.0,,,,
0.5623413251903491 solMass,0.1 d,30.0,,,,
0.5623413251903491 solMass,0.1 d,60.0,,,,
0.5623413251903491 solMass,0.1 d,90.0,,,,
0.5623413251903491 solMass,0.31622776601683794 d,0.0,0.0,0.0,0.0,No
0.5623413251903491 solMass,0.31622776601683794 d,30.0,1.6516569939853396,1.6516569939853396,0.0,No
0.5623413251903491 solMass,0.31622776601683794 d,60.0,2.844443278835236,2.844443278835236,0.0,No
0.5623413251903491 solMass,0.31622776601683794 d,90.0,4.1507314914323725,3.278528229305448,0.8722032621269245,Yes
0.5623413251903491 solMass,1.0 d,0.0,0.0,0.0,0.0,No
0.5623413251903491 solMass,1.0 d,30.0,0.9598927101938663,0.9598927101938663,0.0,No
0.5623413251903491 solMass,1.0 d,60.0,1.6431492525941804,1.6431492525941804,0.0,No
0.5623413251903491 solMass,1.0 d,90.0,2.8657887863569567,1.881684656796174,0.9841041295607826,Yes
0.5623413251903491 solMass,3.1622776601683795 d,0.0,0.0,0.0,0.0,No
0.5623413251903491 solMass,3.1622776601683795 d,30.0,0.5217774128967299,0.5217774128967299,0.0,No
0.5623413251903491 solMass,3.1622776601683795 d,60.0,0.8888439410560054,0.8888439410560054,0.0,No
0.5623413251903491 solMass,3.1622776601683795 d,90.0,2.012867899246937,1.0148608790360714,0.9980070202108655,Yes
0.5623413251903491 solMass,10.0 d,0.0,0.0,0.0,0.0,No
0.5623413251903491 solMass,10.0 d,30.0,0.22932302256636294,0.22932302256636294,0.0,No
0.5623413251903491 solMass,10.0 d,60.0,0.3914449036812935,0.3914449036812935,0.0,No
0.5623413251903491 solMass,10.0 d,90.0,1.4471946705853966,0.448194475236005,0.9990001953493917,Yes
1.0 solMass,0.1 d,0.0,,,,
1.0 solMass,0.1 d,30.0,,,,
1.0 solMass,0.1 d,60.0,,,,
1.0 solMass,0.1 d,90.0,,,,
1.0 solMass,0.31622776601683794 d,0.0,,,,
1.0 solMass,0.31622776601683794 d,30.0,,,,
1.0 solMass,0.31622776601683794 d,60.0,,,,
1.0 solMass,0.31622776601683794 d,90.0,,,,
1.0 solMass,1.0 d,0.0,0.0,0.0,0.0,No
1.0 solMass,1.0 d,30.0,3.326189675192624,3.326189675192624,0.0,No
1.0 solMass,1.0 d,60.0,5.729553933675275,5.729553933675275,0.0,No
1.0 solMass,1.0 d,90.0,7.518706643896284,6.604071326877655,0.9146353170186288,Yes
1.0 solMass,3.1622776601683795 d,0.0,0.0,0.0,0.0,No
1.0 solMass,3.1622776601683795 d,30.0,1.6840290721193223,1.6840290721193223,0.0,No
1.0 solMass,3.1622776601683795 d,60.0,2.890853170059887,2.890853170059887,0.0,No
1.0 solMass,3.1622776601683795 d,90.0,4.293969591091603,3.31919693895314,0.974772652138463,Yes
1.0 solMass,10.0 d,0.0,0.0,0.0,0.0,No
